,latitude,longitude,name,type,ulr_1,ulr_2,ulr_3
0,51.5160014,-0.088105,Apex London Wall Hotel,bar,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23824667_506830749676362_628529319437664256_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23824667_506830749676362_628529319437664256_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23824667_506830749676362_628529319437664256_n.jpg
1,51.5176183,-0.0967782,Museum of London,museum,https://scontent.cdninstagram.com/t51.2885-15/e35/23825216_129068037784893_1353270793978511360_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/e35/23825216_129068037784893_1353270793978511360_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/e35/23825216_129068037784893_1353270793978511360_n.jpg
2,51.5155012,-0.0909004,Hawksmoor,bar,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23825337_2006217686291341_3282581626738966528_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23825337_2006217686291341_3282581626738966528_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23825337_2006217686291341_3282581626738966528_n.jpg
3,51.5138453,-0.0983506,St. Paul's Cathedral,church,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24125409_141901693128071_1541043444149911552_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24125409_141901693128071_1541043444149911552_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/24125409_141901693128071_1541043444149911552_n.jpg
4,51.5200768,-0.093263,Barbican Centre,art_gallery,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23969475_494332364282796_3028685270691086336_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23969475_494332364282796_3028685270691086336_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23969475_494332364282796_3028685270691086336_n.jpg
5,51.5129391,-0.0930464,The Japanese Canteen,meal_takeaway,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23967477_504110436628786_8960649102106820608_n.jpg,,
6,51.513419,-0.09408,Taberna Etrusca,bar,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23825185_141639733225392_8004604113755045888_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23825185_141639733225392_8004604113755045888_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/23825185_141639733225392_8004604113755045888_n.jpg
7,51.513287,-0.09472,Ping Pong Bow Bells House,bar,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/23969579_378844129215823_385477012782841856_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/23969579_378844129215823_385477012782841856_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/23969579_378844129215823_385477012782841856_n.jpg
8,51.515063,-0.144594,Oxford Street,Holidays,https://www.instagram.com/p/BcQg23OnFOjFh_9ZgiiT9uaYO8HIuN73BwznbM0/?taken-by=test_londoners_123,,
9,51.513421,-0.138861,Carnaby Street,Holidays,https://www.instagram.com/p/BcQg48fH2SyDSo9Ynrum2fDHO52qClVioo_aWY0/?taken-by=test_londoners_123,,
10,51.513986,-0.127014,Seven Dials,Holidays,https://www.instagram.com/p/BcQg9u4HFc8ghRkuIiCqnLnW0N7IjGg1HKLm040/?taken-by=test_londoners_123,https://www.instagram.com/p/BcQhUegn9nvjaPv2eEcUnU_NhVjlWvl9dux-mc0/?taken-by=test_londoners_123,
11,51.512163,-0.13971,Regents Street,Holidays,https://www.instagram.com/p/BcQhF8nn88zIEuY8sxwsc2dyaC86iKinWVfTco0/?taken-by=test_londoners_123,,
12,51.508286,-0.075874,Tower of London,Holidays,https://www.instagram.com/p/BcQhIgLneLjtOGEU4xj_IMuDAwrUFhd8F9mt540/?taken-by=test_londoners_123,,
13,51.512116,-0.122744,Apple Market,Holidays,https://www.instagram.com/p/BcQhPWbHgKFCsp3YftGg8LDcNlX0fMOUdQ0bgA0/?taken-by=test_londoners_123,https://www.instagram.com/p/BcQhM5tncpxB0I0B534PtomgkyYXj32_YT_Tdo0/?taken-by=test_londoners_123,
